Winner,Loser,WRank,LRank
Benneteau J.,Munoz-De La Nava D.,65,287
Gabashvili T.,Mahut N.,60,39
Gonzalez A.,Mannarino A.,91,66
Matosevic M.,Klahn B.,69,64
Hanescu V.,Robert S.,87,96
Bautista R.,Johnson S.,53,119
Zeballos H.,Ram R.,126,141
Lopez F.,Sela D.,37,61
Lorenzi P.,Carreno-Busta P.,100,63
Thiem D.,Kosakowski D.,101,366
Haase R.,Smith J.P.,46,219
Nieminen J.,Brands D.,40,84
Davydenko N.,Goffin D.,73,95
Falla A.,Janowicz J.,75,20
Haas T.,Chardy J.,12,48
Donskoy E.,Russell M.,114,107
Anderson K.,Hewitt L.,18,41
Murray A.,Rosol L.,6,47
Seppi A.,Querrey S.,32,57
Dolgopolov O.,Smyczek T.,31,105
Tursunov D.,Monaco J.,30,43
Vesely J.,Andujar P.,77,35
Raonic M.,Roger-Vasselin E.,11,42
Federer R.,Mathieu P.H.,8,123
Wawrinka S.,Karlovic I.,3,51
Fognini F.,Harrison R.,14,117
Nishikori K.,Giraldo S.,21,71
Nadal R.,Stepanek R.,1,50
Monfils G.,Stakhovsky S.,25,83
Bautista R.,Berdych T.,53,5
Cilic M.,Lorenzi P.,26,100
Gonzalez A.,Dodig I.,91,34
Kukushkin M.,Pospisil V.,58,27
Lu Y.H.,Kohlschreiber P.,49,24
Isner J.,Davydenko N.,13,73
Robredo T.,Matosevic M.,17,69
Thiem D.,Simon G.,101,23
Lopez F.,Ward J.,37,160
Gulbis E.,Sousa J.,22,45
Gasquet R.,Gabashvili T.,9,60
Verdasco F.,Zeballos H.,33,126
Benneteau J.,Tsonga J.W.,65,10
Nieminen J.,Mayer F.,40,29
Dimitrov G.,Haase R.,16,46
Djokovic N.,Hanescu V.,2,87
Murray A.,Vesely J.,6,77
Federer R.,Tursunov D.,8,30
Fognini F.,Monfils G.,14,25
Raonic M.,Falla A.,11,75
Wawrinka S.,Seppi A.,3,32
Anderson K.,Donskoy E.,18,114
Dolgopolov O.,Nadal R.,31,1
Haas T.,Nishikori K.,12,21
Cilic M.,Robredo T.,26,17
Bautista R.,Nieminen J.,53,40
Verdasco F.,Gasquet R.,33,9
Lopez F.,Kukushkin M.,37,58
Djokovic N.,Gonzalez A.,2,91
Gulbis E.,Dimitrov G.,22,16
Benneteau J.,Thiem D.,65,101
Isner J.,Lu Y.H.,13,49
Dolgopolov O.,Fognini F.,31,14
Raonic M.,Murray A.,11,6
Gulbis E.,Bautista R.,22,53
Anderson K.,Wawrinka S.,18,3
Isner J.,Verdasco F.,13,33
Federer R.,Haas T.,8,12
Benneteau J.,Lopez F.,65,37
Djokovic N.,Cilic M.,2,26
Dolgopolov O.,Raonic M.,31,11
Federer R.,Anderson K.,8,18
Djokovic N.,Benneteau J.,2,65
Isner J.,Gulbis E.,13,22
Djokovic N.,Isner J.,2,13
Federer R.,Dolgopolov O.,8,31
Djokovic N.,Federer R.,2,8
Ebden M.,Kubot L.,67,81
Mannarino A.,Davydenko N.,80,71
Montanes A.,Przysiezny M.,59,75
De Bakker T.,Hanescu V.,162,84
Chardy J.,Monaco J.,48,41
Gabashvili T.,Granollers M.,60,228
Gonzalez A.,Jaziri M.,83,118
